Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0805,2,10p,
C10,0805,1,2u2,
"C11, C12, C13, C14, C15, C16, C17, C19, C20, C21, C22, C30, C34, C35, C39, C8",0805,16,100nF,
"C18, C9",0805,2,10u,
"C2, C4, C5, C6",0805,4,2.2uF,
"C23, C28, C40",0805,3,22u,
"C24, C25",0805,2,1u,
"C26, C27",0805,2,100n,
"C29, C32",0805,2,4.7uF,
"C31, C36",0805,2,100uF,
C33,0805,1,"4,7uF",
"C37, C38",0805,2,22uF,
"C41, C42, C43, C44",1210,4,10n,
C7,0805,1,2uF2,
D1,DIOM5436X330N,1,LSM115JE3_TR13,
"D2, D3, D4",0805,3,LED,
D5,D_SMA,1,SS34,
D6,0805,1,DIODE,
"J1, J19",Molex_Micro-Fit_3.0_43045-1200_2x06_P3.00mm_Horizontal,2,43045-1200,
J13,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J14,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J16,PinHeader_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,
J17,USB_C_Receptacle_GCT_USB4085,1,USB_C_Receptacle_USB2.0_16P,
J18,776267-1,1,776267-1,
J3,MOLEX_54104-4031,1,54104-4031,
J4,microSD_HC_Molex_104031-0811,1,Micro_SD_Card_Det1,
"J5, J7",PinHeader_1x05_P2.54mm_Vertical,2,Conn_01x05_Pin,
J6,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"L1, L2",L_Bourns_SRP7028A_7.3x6.6mm,2,22uh,
L3,L_Bourns_SRP7028A_7.3x6.6mm,1,6.8uH,
LED1,0805,1,G,
"Q1, Q2, Q3, Q4, Q6, Q7",SOT-23,6,DMN6075S,
"R1, R7",0805,2,10k,
"R10, R11, R12, R13, R2, R36, R5, R6, R8, R9",0805,10,33R,
"R14, R15, R16, R17, R18, R19, R35",0805,7,47k,
"R20, R21",0805,2,120ohm,
"R22, R23, R24, R27",0805,4,1k,
R26,0805,1,47R,
R29,0805,1,2k2,
"R3, R4",0805,2,5k1,
"R32, R33",0603,2,22,
"R34, R38, R40, R55, R57",0805,5,100k,
"R37, R54, R56",0805,3,68K,
R39,0805,1,49.9,
R41,0805,1,13.7K,
"R42, R45",1206,2,2k2,
"R43, R46, RS1, RS2",1206,4,1k,
"R44, R47",1206,2,100k,
"R48, R49",1206,2,10K,
"R50, R51",1206,2,100,
SW1,SW_SPST_B3U-1000P-B,1,BOOT,
SW2,SW_SPST_B3U-1000P-B,1,RESET,
U1,LQFP-176_24x24mm_P0.5mm,1,STM32H743IGTx,
U2,54L_TSOP-2_400_ISI,1,IS42S16400J-7TLI,
"U3, U4",SOIC-8_3.9x4.9mm_P1.27mm,2,TCAN330,
U5,SON95P300X300X100-7N-D,1,LD39200PU33R,
U6,SOP2_8PIN_208MIL_MRN,1,MT25QL128ABA1ESE-0SIT,
U7,SOT-23-6,1,MT3608,
U8,SOT-23-6,1,LMR51430,
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,24MHz,
