Designator,Mid X,Mid Y,Rotation,Layer
C1,100.4625,-92.0,180.0,top
C10,131.5,-75.25,0.0,top
C11,114.5,-106.0,180.0,top
C12,132.75,-115.25,270.0,top
C13,104.25,-115.75,270.0,top
C14,140.75,-99.5,0.0,top
C15,133.75,-78.5,90.0,top
C16,135.75,-87.75,180.0,top
C17,120.0,-71.4625,90.0,top
C18,100.5,-66.45625,180.0,top
C19,102.25,-87.5,180.0,top
C2,137.0,-103.0,90.0,top
C20,132.75,-119.25,270.0,top
C21,101.75,-115.75,270.0,top
C22,126.25,-106.5,180.0,top
C23,95.0,-67.5,270.0,top
C24,115.25,-71.5375,270.0,top
C25,109.75,-71.7125,270.0,top
C26,117.75,-71.5,270.0,top
C27,135.25,-93.0,270.0,top
C28,76.9625,-73.0,180.0,top
C29,102.225,-49.2375,270.0,top
C3,97.0,-94.0,270.0,top
C30,99.215,-49.2375,270.0,top
C31,87.74,-38.5625,90.0,top
C32,90.75,-38.5625,90.0,top
C33,93.76,-38.5625,90.0,top
C34,89.5,-43.2375,270.0,top
C35,84.7125,-46.5,0.0,top
C36,84.7125,-56.25,180.0,top
C37,84.7125,-53.75,180.0,top
C38,84.7875,-51.25,180.0,top
C39,98.1875,-53.525,0.0,top
C4,142.0,-102.9625,90.0,top
C40,81.25,-45.2875,90.0,top
C41,161.25,-113.1625,270.0,top
C42,147.0,-113.2125,270.0,top
C43,135.275,-137.2875,180.0,top
C44,151.525,-136.25,180.0,top
C5,139.5,-102.9625,90.0,top
C6,134.5,-103.0375,90.0,top
C7,155.5375,-67.25,180.0,top
C8,157.25,-65.0,180.0,top
C9,92.5,-67.5,270.0,top
D1,96.5,-61.5,0.0,top
D2,83.25,-114.725,90.0,top
D3,86.25,-114.55,90.0,top
D4,80.0,-114.7,90.0,top
D5,79.0,-61.5,0.0,top
D6,131.0,-134.4625,270.0,top
J1,89.16,-134.035,180.0,top
J13,75.6,-54.805,180.0,top
J14,90.7,-117.2,0.0,top
J16,111.0,-59.505,90.0,top
J17,159.33,-88.375,90.0,top
J18,132.25,-42.35,180.0,top
J19,114.66,-133.965,180.0,top
J3,69.9,-93.0,270.0,top
J4,157.3,-75.355,270.0,top
J5,153.75,-55.96,180.0,top
J6,134.98,-62.25,90.0,top
J7,159.75,-101.5,0.0,top
L1,87.775,-61.5,180.0,top
L2,100.225,-42.025,180.0,top
L3,92.0,-50.75,270.0,top
LED1,100.5625,-71.45625,0.0,top
Q1,153.25,-116.1875,180.0,top
Q2,154.75,-122.3125,90.0,top
Q3,139.4375,-115.7375,180.0,top
Q4,140.2,-121.4375,90.0,top
Q6,132.75,-129.7875,90.0,top
Q7,147.85,-129.55,0.0,top
R1,120.5,-64.75,270.0,top
R10,147.3875,-70.365,0.0,top
R11,147.3875,-72.365,0.0,top
R12,147.3875,-78.365,0.0,top
R13,147.3875,-80.365,0.0,top
R14,161.3,-62.865,180.0,top
R15,159.8245,-57.5745,270.0,top
R16,162.3245,-57.5745,270.0,top
R17,161.3,-65.115,180.0,top
R18,150.5,-83.75,0.0,top
R19,157.3245,-57.5745,270.0,top
R2,128.75,-70.0,0.0,top
R20,135.0,-65.75,0.0,top
R21,139.25,-65.75,0.0,top
R22,100.5375,-68.70625,180.0,top
R23,83.25,-118.925,270.0,top
R24,86.25,-118.75,270.0,top
R26,112.75,-71.5,270.0,top
R27,80.0,-118.925,270.0,top
R29,80.5,-71.5,90.0,top
R3,145.5,-98.0,270.0,top
R32,144.25,-89.5,0.0,top
R33,144.175,-87.75,0.0,top
R34,147.75,-103.0,90.0,top
R35,145.5,-103.0,270.0,top
R36,153.75,-97.92,0.0,top
R37,83.0,-71.5,270.0,top
R38,93.0,-43.275,270.0,top
R39,84.75,-48.75,180.0,top
R4,147.75,-98.0,270.0,top
R40,78.5,-45.25,90.0,top
R41,78.75,-39.25,90.0,top
R42,157.0,-112.975,90.0,top
R43,152.75,-111.4375,0.0,top
R44,157.9625,-118.5,0.0,top
R45,143.25,-113.2125,90.0,top
R46,139.25,-111.7125,0.0,top
R47,144.0,-117.75,0.0,top
R48,135.2875,-133.7875,0.0,top
R49,153.5375,-128.25,0.0,top
R5,153.75,-102.92,0.0,top
R50,136.5,-129.25,270.0,top
R51,153.5,-132.25,0.0,top
R54,123.75,-57.0,180.0,top
R55,119.75,-57.0,180.0,top
R56,119.25,-51.0,180.0,top
R57,116.1,-50.0,90.0,top
R6,153.825,-100.42,0.0,top
R7,129.75,-67.25,0.0,top
R8,147.3875,-76.365,0.0,top
R9,147.3875,-74.365,0.0,top
RS1,158.25,-124.7125,270.0,top
RS2,143.5,-123.9625,270.0,top
SW1,124.75,-61.5,90.0,top
SW2,124.75,-67.0,270.0,top
U1,118.5,-90.0,270.0,top
U2,119.599999,-116.0,270.0,top
U3,137.75,-80.75,0.0,top
U4,139.25,-94.0,0.0,top
U5,88.5,-70.575,90.0,top
U6,97.5,-83.5,90.0,top
U7,83.25,-67.575,180.0,top
U8,84.75,-42.775,0.0,top
Y1,100.625,-94.8,180.0,top
